date;errorcode;nb
18092021;1;24755
18092021;8;21278
18092021;2;14606
18092021;254;12036
18092021;17;9140
18092021;15;5758
18092021;75;2672
18092021;23;945
18092021;51;250
18092021;5;217
18092021;53;92
18092021;4;61
18092021;67;54
18092021;40;54
18092021;57;42
18092021;7;38
18092021;48;15
18092021;52;11
18092021;35;9
18092021;62;3
18092021;3;3
18092021;100;2
18092021;34;1
19092021;0;13684518
19092021;24;396001
19092021;10;19562
19092021;8;13631
19092021;2;11908
19092021;1;11458
19092021;254;10034
19092021;17;7950
19092021;15;6047
19092021;75;2290
19092021;23;931
19092021;51;235
19092021;5;113
19092021;53;96
19092021;67;89
19092021;100;45
19092021;7;39
19092021;57;35
19092021;4;26
19092021;56;19
19092021;40;16
19092021;52;14
19092021;3;11
19092021;48;4
19092021;34;4
19092021;61;3
19092021;35;1
19092021;255;1
19092021;16;1
19092021;155;1
20092021;0;14842302
20092021;24;305789
20092021;10;47027
20092021;1;21560
20092021;2;14064
20092021;8;13208
20092021;254;11093
20092021;17;8309
20092021;15;5905
20092021;75;2631
20092021;23;1004
20092021;5;616
20092021;51;258
20092021;4;130
20092021;53;99
20092021;67;62
20092021;40;59
20092021;7;44
20092021;57;32
20092021;100;20
20092021;56;9
20092021;52;9
20092021;35;5
20092021;34;5
20092021;3;5
20092021;61;3
20092021;48;3
20092021;14;3
20092021;16;1
20092021;156;1
21092021;0;14937214
21092021;24;442649
21092021;10;47937
21092021;100;37744
21092021;8;16458
21092021;1;13774
21092021;2;12901
21092021;254;11844
21092021;17;9132
21092021;15;6446
21092021;75;2235
21092021;255;2064
21092021;23;1039
21092021;67;920
21092021;5;714
21092021;51;224
21092021;4;141
21092021;53;64
21092021;7;58
21092021;57;43
21092021;40;34
21092021;3;14
21092021;52;13
21092021;61;9
21092021;48;9
21092021;56;8
21092021;34;8
21092021;35;6
21092021;16;3
21092021;156;3
21092021;155;2
22092021;0;15159238
22092021;24;403866
22092021;10;52482
22092021;1;35268
22092021;8;14657
22092021;2;12878
22092021;17;11706
22092021;254;10813
22092021;40;8571
22092021;15;7590
22092021;75;2537
22092021;23;1031
22092021;5;456
22092021;51;229
22092021;53;107
22092021;4;99
22092021;7;96
22092021;67;95
22092021;100;77
22092021;57;18
22092021;52;9
22092021;56;8
22092021;3;6
22092021;48;5
22092021;34;5
22092021;35;4
22092021;61;2
22092021;216;2
22092021;16;1
23092021;0;15967556
23092021;24;442622
23092021;10;61385
23092021;8;15634
23092021;2;14249
23092021;1;13717
23092021;254;10937
23092021;17;9344
23092021;15;6627
23092021;75;2528
23092021;23;1053
23092021;5;413
23092021;51;252
23092021;100;109
23092021;4;98
23092021;53;97
23092021;67;80
23092021;7;56
23092021;57;31
23092021;40;24
23092021;3;16
23092021;48;9
23092021;52;8
23092021;56;7
23092021;34;6
23092021;14;5
23092021;61;3
23092021;35;2
23092021;218;1
24092021;0;16151111
24092021;24;486812
24092021;10;126443
24092021;1;18794
24092021;8;16624
24092021;2;14465
24092021;254;11447
24092021;17;9961
24092021;15;6699
24092021;75;2946
24092021;23;883
24092021;5;467
24092021;51;257
24092021;4;115
24092021;40;89
24092021;53;87
24092021;67;71
24092021;7;45
24092021;100;41
24092021;57;37
24092021;56;12
24092021;3;10
24092021;52;8
24092021;48;8
24092021;35;7
24092021;34;7
24092021;14;5
24092021;61;2
24092021;156;1
25092021;0;14680697
25092021;24;643237
25092021;10;188367
25092021;8;18432
25092021;254;12678
25092021;17;12536
25092021;2;11945
25092021;1;10983
25092021;15;8062
25092021;75;2445
25092021;23;722
25092021;51;233
25092021;5;219
25092021;53;137
25092021;67;83
25092021;100;33
25092021;4;27
25092021;7;25
25092021;57;23
25092021;40;16
25092021;52;12
25092021;35;9
25092021;48;7
25092021;56;6
25092021;3;6
25092021;61;5
25092021;34;3
25092021;16;1
25092021;156;1
26092021;0;13858979
26092021;24;364264
26092021;10;50410
26092021;8;13802
26092021;2;10963
26092021;1;10089
26092021;254;8373
26092021;17;8037
26092021;15;5803
26092021;75;2494
26092021;23;747
26092021;51;233
26092021;5;133
26092021;53;80
26092021;67;73
26092021;100;48
26092021;4;36
26092021;7;34
26092021;57;17
26092021;56;10
26092021;52;10
26092021;40;9
26092021;61;8
26092021;34;7
26092021;3;6
26092021;48;5
26092021;35;2
26092021;14;2
26092021;156;1
27092021;0;14951833
27092021;24;288965
27092021;10;30223
27092021;1;14012
27092021;254;13536
27092021;8;13313
27092021;2;11829
27092021;17;8444
27092021;15;5818
27092021;75;2292
27092021;23;722
27092021;5;603
27092021;4;301
27092021;51;229
27092021;53;86
27092021;67;71
27092021;7;53
27092021;40;32
27092021;100;28
27092021;57;26
27092021;56;16
27092021;3;16
27092021;52;14
27092021;34;9
27092021;48;5
27092021;35;4
27092021;61;2
27092021;16;1
28092021;0;14965307
28092021;24;313673
28092021;10;120707
28092021;8;15173
28092021;1;14921
28092021;2;11145
28092021;254;10016
28092021;17;8869
28092021;15;6136
28092021;75;2576
28092021;5;1001
28092021;23;709
28092021;4;352
28092021;51;233
28092021;40;139
28092021;53;82
28092021;67;47
28092021;100;28
28092021;7;22
28092021;57;20
28092021;34;17
28092021;3;13
28092021;56;11
28092021;48;5
28092021;35;5
28092021;156;4
28092021;52;3
28092021;16;1
29092021;0;15388152
29092021;24;364680
29092021;10;90785
29092021;254;15863
29092021;1;15148
29092021;8;14019
29092021;2;13217
29092021;17;9466
29092021;15;6075
29092021;75;2454
29092021;23;692
29092021;5;426
29092021;51;214
29092021;4;167
29092021;100;117
29092021;53;91
29092021;156;84
29092021;67;71
29092021;40;42
29092021;57;36
29092021;7;22
29092021;56;22
29092021;52;8
29092021;3;7
29092021;48;5
29092021;35;5
29092021;14;5
29092021;34;3
29092021;155;2
29092021;61;1
29092021;255;1
30092021;0;15972860
30092021;24;488989
30092021;10;34721
30092021;8;16047
30092021;1;13783
30092021;2;12909
30092021;17;10060
30092021;254;9655
30092021;15;6562
30092021;75;2580
30092021;23;728
